price,sqft,age,features,northeast,custom_build,corner_lot
205000,2650,13,7,1,1,0
208000,2600,.,4,1,1,0
215000,2664,6,5,1,1,0
215000,2921,3,6,1,1,0
199900,2580,4,4,1,1,0
190000,2580,4,4,1,0,0
180000,2774,2,4,1,0,0
156000,1920,1,5,1,1,0
145000,2150,.,4,1,0,0
144900,1710,1,3,1,1,0
137500,1837,4,5,1,0,0
127000,1880,8,6,1,0,0
125000,2150,15,3,1,0,0
123500,1894,14,5,1,1,0
117000,1928,18,8,1,1,0
118000,1830,.,3,1,0,0
115500,1767,16,4,1,0,0
111000,1630,15,3,1,0,1
113900,1680,17,4,1,0,1
99500,1725,.,3,1,0,0
99500,1500,15,4,1,0,0
97500,1430,.,3,1,0,0
97500,1360,.,4,1,0,0
90000,1400,16,2,1,0,1
96000,1573,17,6,1,0,0
86000,1385,.,2,1,0,0
169500,2931,28,3,1,0,1
155300,2200,28,4,1,0,0
125000,2277,.,4,1,1,0
130000,2000,.,3,1,1,0
102000,1478,53,3,1,0,1
102000,1713,30,4,1,0,1
92200,1326,.,4,1,0,0
92500,1050,.,2,1,0,1
89900,1464,.,2,1,1,0
85000,1190,41,1,1,0,0
87600,1156,.,1,1,0,0
89000,1746,.,2,1,0,0
87000,1280,.,1,1,0,0
70000,1215,.,3,1,0,0
72000,1121,46,4,1,0,0
72000,1050,.,1,1,0,0
74900,1733,43,6,1,0,0
73100,1299,.,6,1,0,0
72500,1140,.,3,1,0,1
67000,1181,.,4,1,0,0
215000,2848,4,6,1,1,0
159900,2440,.,5,1,1,0
135000,2253,23,4,1,1,0
129900,2743,25,5,1,1,1
125000,2180,17,4,1,0,1
123900,1706,14,4,1,0,0
120000,1948,.,4,1,0,0
112500,1710,16,4,1,1,0
110000,1657,.,4,1,0,0
108000,2200,26,4,1,0,0
105000,1680,13,4,1,0,0
104900,1900,34,3,1,0,0
95500,1565,.,3,1,1,0
93400,1543,20,3,1,0,0
87500,1173,6,4,1,0,0
88900,1549,.,4,1,0,0
85500,1900,.,3,1,0,0
83500,1560,.,5,1,0,1
81000,1365,.,2,1,0,0
80500,1258,7,4,1,0,1
79900,1314,.,2,1,0,0
75000,1338,.,3,1,0,1
75900,997,4,4,1,0,0
75500,1275,.,5,1,0,0
75000,1030,.,1,1,0,0
73000,1027,.,3,1,0,0
72900,1007,19,6,1,0,0
71000,1083,22,4,1,0,0
77300,1320,.,5,1,0,0
69000,1348,15,2,1,1,0
67000,1350,.,2,1,0,0
61900,837,.,2,1,0,0
129500,3750,.,4,0,1,1
97500,1500,7,3,0,1,1
93900,1428,40,2,0,0,0
82000,1375,.,1,0,0,0
78000,1080,.,3,0,1,0
77000,900,.,3,0,0,0
70000,1505,.,2,0,0,1
62000,1480,.,4,0,0,0
54000,1142,.,0,0,0,0
107000,1464,.,2,0,0,0
210000,2116,25,3,0,1,0
72500,1280,.,3,0,0,0
66000,1159,.,0,0,0,0
60000,1198,.,4,0,0,0
58000,1051,15,2,0,0,0
184400,2250,40,6,0,1,0
158000,2563,.,2,0,1,0
69900,1400,45,1,0,1,1
133000,1850,5,5,0,1,1
116000,1720,5,4,0,0,0
110900,1740,4,3,0,0,0
112900,1700,6,4,0,0,0
105000,1620,6,4,0,0,0
104500,1630,6,4,0,0,0
105000,1920,8,4,0,0,0
102000,1606,5,4,0,0,0
100000,1535,7,5,0,0,1
103000,1540,6,2,0,0,1
97500,1739,13,3,0,0,0
95000,1715,.,3,0,0,0
94000,1305,5,3,0,0,0
92000,1415,7,4,0,0,0
94500,1580,9,3,0,0,0
87400,1236,3,4,0,0,0
87200,1229,6,3,0,0,0
87000,1273,4,4,0,0,0
86900,1165,7,4,0,0,0
76600,1200,7,4,0,0,1
73900,970,4,4,0,0,1